,ChEMBL ID,Name,SMILES,Molecular Weight,LogP,HBA,HBD,TPSA,Protein
0,CHEMBL292323,,COc1cccc2c(C(=O)Nc3ccccc3)c(SSc3c(C(=O)Nc4ccccc4)c4cccc(OC)c4n3C)n(C)c12,622.77,7.99,8.0,2.0,86.52,EGFR
1,CHEMBL304414,,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3ccccc3n2C)c(C(=O)Nc2ccccc2)c2ccccc21,562.72,7.97,6.0,2.0,68.06,EGFR
2,CHEMBL62176,,CN1C(=S)C(C(=O)Nc2ccccc2)c2ccccc21,282.37,3.19,2.0,1.0,32.34,EGFR
3,CHEMBL62701,,Cn1c(SSc2c(C(=O)Nc3ccccc3)c3cccnc3n2C)c(C(=O)Nc2ccccc2)c2cccnc21,564.70,6.76,8.0,2.0,93.84,EGFR
4,CHEMBL137617,,C/N=N/Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,357.22,4.54,5.0,2.0,74.56,EGFR
5,CHEMBL153577,,CC(=O)N(C)/N=N/c1ccc2ncnc(Nc3cccc(C)c3)c2c1,334.38,4.16,6.0,1.0,82.84,EGFR
6,CHEMBL152448,,CN(CO)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,387.24,4.02,6.0,2.0,86.00,EGFR
7,CHEMBL137189,,C/N=N/Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,292.35,4.09,5.0,2.0,74.56,EGFR
8,CHEMBL52765,,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,315.17,3.72,4.0,2.0,63.83,EGFR
9,CHEMBL152922,,CC(=O)OCN(C)/N=N/c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,429.28,4.59,7.0,1.0,92.07,EGFR
10,CHEMBL7917,TYRPHOSTIN AG-1478,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,315.76,4.04,5.0,1.0,56.27,EGFR
11,CHEMBL7827,,O=c1c(-c2cccc(Cl)c2)coc2cc(O)cc(O)c12,288.69,3.52,4.0,2.0,70.67,EGFR
12,CHEMBL440453,,COc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,301.73,3.98,4.0,2.0,62.58,EGFR
13,CHEMBL7810,,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(CCc3ccccc3)c2c1,405.88,5.28,4.0,1.0,51.46,EGFR
14,CHEMBL7981,,COc1cc(OC)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,316.74,4.13,4.0,0.0,48.67,EGFR
15,CHEMBL7866,,COC(=O)Cn1cc(-c2cccc(Cl)c2)c(=O)c2c(O)cc(OC)cc21,373.79,3.21,6.0,1.0,77.76,EGFR
16,CHEMBL7819,,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(C)c2c1,315.76,3.57,4.0,1.0,51.46,EGFR
17,CHEMBL7339,,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,302.71,3.83,4.0,1.0,59.67,EGFR
18,CHEMBL266995,,Oc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,287.70,3.67,4.0,3.0,73.58,EGFR
19,CHEMBL66031,,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,340.18,4.01,4.0,2.0,66.49,EGFR
20,CHEMBL340520,,COc1ccc(Cc2cn(Cc3ccc(OC)cc3)c(NC3=NC(=O)N(C)C3=O)n2)cc1,433.47,2.94,7.0,1.0,98.05,EGFR
21,CHEMBL339550,,COc1ccc(Cc2cn(Cc3ccc(O)cc3)c(NC3=NC(=O)N(C)C3=O)n2)cc1,419.44,2.64,7.0,2.0,109.05,EGFR
22,CHEMBL339727,,COc1ccc(Cc2nc(NC3=NC(=O)N(C)C3=O)n(C)c2Cc2ccc(O)cc2)cc1,433.47,2.72,7.0,2.0,109.05,EGFR
23,CHEMBL137829,,O=C(NCCc1ccc(Cl)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O,412.87,4.04,5.0,5.0,101.82,EGFR
24,CHEMBL138698,,O=C(NCCc1ccccc1)c1cccc(NCc2cc(O)ccc2O)c1,362.43,3.68,4.0,4.0,81.59,EGFR
25,CHEMBL137924,,O=C(NCCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O,378.43,3.39,5.0,5.0,101.82,EGFR
26,CHEMBL440529,,COc1ccc(CCNC(=O)c2cc(NCc3cc(O)ccc3O)ccc2O)cc1,408.45,3.40,6.0,5.0,111.05,EGFR
27,CHEMBL141271,,O=C(NCCc1ccc(O)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O,394.43,3.09,6.0,6.0,122.05,EGFR
28,CHEMBL142135,,O=C(NC1CCc2ccccc2C1)c1cc(NCc2cc(O)ccc2O)ccc1O,404.47,3.70,5.0,5.0,101.82,EGFR
29,CHEMBL422643,,O=C(NCCCc1ccccc1)c1ccc(NCc2cc(O)ccc2O)cc1,376.46,4.07,4.0,4.0,81.59,EGFR
30,CHEMBL140774,,O=C(NCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O,364.40,3.35,5.0,5.0,101.82,EGFR
31,CHEMBL138340,,CCCCCCCCCCCCNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,442.60,6.07,5.0,5.0,101.82,EGFR
32,CHEMBL122397,,CCCCCCNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,358.44,3.73,5.0,5.0,101.82,EGFR
33,CHEMBL344614,,O=C(NCCc1ccccc1)c1ccc(NCc2cc(O)ccc2O)cc1,362.43,3.68,4.0,4.0,81.59,EGFR
34,CHEMBL137897,,O=C(NCCc1ccccn1)c1cc(NCc2cc(O)ccc2O)ccc1O,379.42,2.78,6.0,5.0,114.71,EGFR
35,CHEMBL44918,,O=C(NCCc1ccc(F)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O,396.42,3.53,5.0,5.0,101.82,EGFR
36,CHEMBL341946,,O=C(NCCCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O,392.46,3.78,5.0,5.0,101.82,EGFR
37,CHEMBL137828,,O=C(NCCc1ccc(Br)cc1)c1cc(NCc2cc(O)ccc2O)ccc1O,457.32,4.15,5.0,5.0,101.82,EGFR
38,CHEMBL139833,,O=C(NCCN1CCOCC1)c1cc(NCc2cc(O)ccc2O)ccc1O,387.44,1.48,7.0,5.0,114.29,EGFR
39,CHEMBL343071,,O=C(NCc1ccccc1)c1ccc(NCc2cc(O)ccc2O)cc1,348.40,3.64,4.0,4.0,81.59,EGFR
40,CHEMBL178945,,CN(C)CCCn1nc(C2=C(c3cn(-c4cccs4)c4ccccc34)C(=O)NC2=O)c2ccccc21,495.61,4.56,7.0,1.0,72.16,EGFR
41,CHEMBL368416,,CN(C)CCCn1nc(C2=C(c3cn(-c4cccnc4)c4ccccc34)C(=O)NC2=O)c2ccccc21,490.57,3.89,7.0,1.0,85.05,EGFR
42,CHEMBL368895,,CN(C)CCCn1nc(C2=C(c3cn(-c4ccc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,539.64,5.65,6.0,1.0,72.16,EGFR
43,CHEMBL360304,,CN(C)CCCn1nc(C2=C(c3cn(-c4cccc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21,539.64,5.65,6.0,1.0,72.16,EGFR
44,CHEMBL359486,,CN(C)CCCn1nc(C2=C(c3cn(-c4cnc5ccccc5c4)c4ccccc34)C(=O)NC2=O)c2ccccc21,540.63,5.05,7.0,1.0,85.05,EGFR
45,CHEMBL426587,,CN(C)CCCn1nc(C2=C(c3cn(-c4csc5ccccc45)c4ccccc34)C(=O)NC2=O)c2ccccc21,545.67,5.71,7.0,1.0,72.16,EGFR
46,CHEMBL388978,STAUROSPORINE,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,466.54,4.35,6.0,2.0,69.45,EGFR
47,CHEMBL103552,LAVENDUSTIN A,O=C(O)c1cc(N(Cc2ccccc2O)Cc2cc(O)ccc2O)ccc1O,381.38,3.41,6.0,5.0,121.46,EGFR
48,CHEMBL485258,LAVENDUSTIN B,O=C(O)c1cc(N(Cc2ccccc2O)Cc2ccccc2O)ccc1O,365.39,3.71,5.0,4.0,101.23,EGFR
49,CHEMBL47986,ERBSTATIN,O=CN/C=C/c1cc(O)ccc1O,179.18,0.81,3.0,3.0,69.56,EGFR
50,CHEMBL483830,,O=C(O)c1cc(N(Cc2cc(O)ccc2O)Cc2cc(O)ccc2O)ccc1O,397.38,3.12,7.0,6.0,141.69,EGFR
51,CHEMBL483831,,O=C(O)c1ccc(O)c(N(Cc2ccccc2O)Cc2cc(O)ccc2O)c1,381.38,3.41,6.0,5.0,121.46,EGFR
52,CHEMBL520491,,O=C(O)c1cc(/N=C\c2cc(O)ccc2O)ccc1O,273.24,2.25,5.0,4.0,110.35,EGFR
53,CHEMBL319620,LAVENDUSTIN C,O=C(O)c1cc(NCc2cc(O)ccc2O)ccc1O,275.26,2.11,5.0,5.0,110.02,EGFR
54,CHEMBL243186,,O=Cc1cc(O)ccc1O,138.12,0.91,3.0,2.0,57.53,EGFR
55,CHEMBL704,MESALAMINE,Nc1ccc(O)c(C(=O)O)c1,153.14,0.67,3.0,3.0,83.55,EGFR
56,CHEMBL242963,,Nc1cc(C(=O)O)ccc1O,153.14,0.67,3.0,3.0,83.55,EGFR
